line_index,raw_line,old_name,new_name,old_smiles,new_smiles,old_input_hash,new_input_hash,old_evidence_input_hash,new_evidence_input_hash,old_canonical_smiles,new_canonical_smiles,old_verdict,new_verdict,old_reason,new_reason,verdict_changed,reason_changed,name_changed,smiles_changed
140,"C=CC(=O)N1C[C@@H](C(=O)OC)[C@H](C1)C=2C=CC=CC2 |&1:6,11,r|	Z3024765026	259.301	259.301	1.816	-2.823	0	2	46.61	5","|&1:6,11,r|",Z3024765026,C=CC(=O)N1C[C@@H](C(=O)OC)[C@H](C1)C=2C=CC=CC2,"C=CC(=O)N1C[C@@H](C(=O)OC)[C@H](C1)C=2C=CC=CC2 |&1:6,11,r|",sha256:ac58d67ae95b8d9eddfaff5bd6d79ef7db0dc9a800f54f51d9fb5e06b062b58a,sha256:9996e8d4fb3564ffa6040bfdec5d5477e98285d6e9a8e034392f11faf5f412fa,sha256:ac58d67ae95b8d9eddfaff5bd6d79ef7db0dc9a800f54f51d9fb5e06b062b58a,sha256:9996e8d4fb3564ffa6040bfdec5d5477e98285d6e9a8e034392f11faf5f412fa,C=CC(=O)N1C[C@H](c2ccccc2)[C@H](C(=O)OC)C1,C=CC(=O)N1C[C@H](c2ccccc2)[C@H](C(=O)OC)C1,PASS,PASS,,,False,False,True,True
152,"C=CC(=O)NC[C@H]1C=C[C@@H]2C[C@H]1CO2 |&1:6,9,11,r|	Z3024767610	193.243	193.243	-0.172	-1.559	1	2	38.33	4","|&1:6,9,11,r|",Z3024767610,C=CC(=O)NC[C@H]1C=C[C@@H]2C[C@H]1CO2,"C=CC(=O)NC[C@H]1C=C[C@@H]2C[C@H]1CO2 |&1:6,9,11,r|",sha256:7d1b493af30a500bfd94273c19e251709b049cd338c206d46ac288ef9ca407c5,sha256:b1efff290e6d81b19b30ab5894c9ac4dd74908009f1536bb138d22636bd6c727,sha256:7d1b493af30a500bfd94273c19e251709b049cd338c206d46ac288ef9ca407c5,sha256:b1efff290e6d81b19b30ab5894c9ac4dd74908009f1536bb138d22636bd6c727,C=CC(=O)NC[C@H]1C=C[C@@H]2C[C@H]1CO2,C=CC(=O)NC[C@H]1C=C[C@@H]2C[C@H]1CO2,PASS,PASS,,,False,False,True,True
202,"C=CC(=O)N[C@H]1COC[C@H]1CO |&1:5,9,r|	Z3490366363	171.194	171.194	-1.146	-0.86	2	3	58.56	4","|&1:5,9,r|",Z3490366363,C=CC(=O)N[C@H]1COC[C@H]1CO,"C=CC(=O)N[C@H]1COC[C@H]1CO |&1:5,9,r|",sha256:fdd981bde58330ee4e0da8c24c4207c4cb7c1258ad749b741f914986e5fddb9a,sha256:16cc2c090f2d5e4a5cf246e65ffcd5ad81050d643c396f62f41dc761e51d661d,sha256:fdd981bde58330ee4e0da8c24c4207c4cb7c1258ad749b741f914986e5fddb9a,sha256:16cc2c090f2d5e4a5cf246e65ffcd5ad81050d643c396f62f41dc761e51d661d,C=CC(=O)N[C@H]1COC[C@H]1CO,C=CC(=O)N[C@H]1COC[C@H]1CO,PASS,PASS,,,False,False,True,True
208,"C=CC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O |&1:5,10,r|	Z3569402359	197.231	197.231	1.386	-1.796	1	3	57.61	3","|&1:5,10,r|",Z3569402359,C=CC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O,"C=CC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O |&1:5,10,r|",sha256:66701f705021fb6ca395e0fb05f0c777730b088a0dc6d00f89ed3eefb5ce4051,sha256:c265d6163de9cb00fe5931db73f02099f91de2ea0cd51da9e14b4c114de14602,sha256:66701f705021fb6ca395e0fb05f0c777730b088a0dc6d00f89ed3eefb5ce4051,sha256:c265d6163de9cb00fe5931db73f02099f91de2ea0cd51da9e14b4c114de14602,C=CC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O,C=CC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O,PASS,PASS,,,False,False,True,True
216,"C=CC(=O)N1CCCC(C1)C(=O)N[C@@H]2CCO[C@H]2C3CC3 |&1:13,17,r|	Z3707767073	292.374	292.374	0.948	-3.202	1	3	58.64	6","|&1:13,17,r|",Z3707767073,C=CC(=O)N1CCCC(C1)C(=O)N[C@@H]2CCO[C@H]2C3CC3,"C=CC(=O)N1CCCC(C1)C(=O)N[C@@H]2CCO[C@H]2C3CC3 |&1:13,17,r|",sha256:4d0a637dd63aa6acad0f18cb15d2054b205dc5795cabf65111d91be7fb8f0cd9,sha256:631d7e36b87b03f6a904f149656eefc960452f164c9049ee1bf2d751889a11c2,sha256:4d0a637dd63aa6acad0f18cb15d2054b205dc5795cabf65111d91be7fb8f0cd9,sha256:631d7e36b87b03f6a904f149656eefc960452f164c9049ee1bf2d751889a11c2,C=CC(=O)N1CCCC(C(=O)N[C@@H]2CCO[C@H]2C2CC2)C1,C=CC(=O)N1CCCC(C(=O)N[C@@H]2CCO[C@H]2C2CC2)C1,PASS,PASS,,,False,False,True,True
217,"C=CC(=O)NCC(=O)N1C[C@H](C)[C@H](C1)C(F)(F)F |&1:10,12,r|	Z3707867583	264.245	264.245	0.303	-3.316	1	2	49.41	6","|&1:10,12,r|",Z3707867583,C=CC(=O)NCC(=O)N1C[C@H](C)[C@H](C1)C(F)(F)F,"C=CC(=O)NCC(=O)N1C[C@H](C)[C@H](C1)C(F)(F)F |&1:10,12,r|",sha256:9190b6c2bb12cfbb611097ed6106756e0220d3a33d3434fd2efd6b53550e4d75,sha256:a9f62697580e332b98425e2d77c8a0418fccb481a264e0e28d9e061d0beebde7,sha256:9190b6c2bb12cfbb611097ed6106756e0220d3a33d3434fd2efd6b53550e4d75,sha256:a9f62697580e332b98425e2d77c8a0418fccb481a264e0e28d9e061d0beebde7,C=CC(=O)NCC(=O)N1C[C@H](C)[C@@H](C(F)(F)F)C1,C=CC(=O)NCC(=O)N1C[C@H](C)[C@@H](C(F)(F)F)C1,PASS,PASS,,,False,False,True,True
262,"C=CC(=O)N[C@H]1C[C@H]2CC[C@@H]1N2C(=O)OC(C)(C)C |&1:5,7,10,r|	Z3024767909	266.337	266.337	1.685	-3.018	1	2	58.64	6","|&1:5,7,10,r|",Z3024767909,C=CC(=O)N[C@H]1C[C@H]2CC[C@@H]1N2C(=O)OC(C)(C)C,"C=CC(=O)N[C@H]1C[C@H]2CC[C@@H]1N2C(=O)OC(C)(C)C |&1:5,7,10,r|",sha256:6966859753132d0d4af8a908e3bbc08d296cbacd5a04ccf1d7cf11117f880f42,sha256:4eed66de873c985a03c0bf1d7e6f05c2c8a7a5dc9fa8438f9f27594dfa2b59ff,sha256:6966859753132d0d4af8a908e3bbc08d296cbacd5a04ccf1d7cf11117f880f42,sha256:4eed66de873c985a03c0bf1d7e6f05c2c8a7a5dc9fa8438f9f27594dfa2b59ff,C=CC(=O)N[C@H]1C[C@H]2CC[C@@H]1N2C(=O)OC(C)(C)C,C=CC(=O)N[C@H]1C[C@H]2CC[C@@H]1N2C(=O)OC(C)(C)C,FAIL,FAIL,FAIL_ANCHORING_DISTANCE,FAIL_ANCHORING_DISTANCE,False,False,True,True
295,"C=CC(=O)N1C[C@H]2CC[C@H]2[C@H]1C(=O)O |&1:6,9,10,r|	Z3417462205	195.216	195.216	0.622	-2.104	1	3	57.61	2","|&1:6,9,10,r|",Z3417462205,C=CC(=O)N1C[C@H]2CC[C@H]2[C@H]1C(=O)O,"C=CC(=O)N1C[C@H]2CC[C@H]2[C@H]1C(=O)O |&1:6,9,10,r|",sha256:35c295559d2a9867fe7eb10eded5cc26c38d594478f58dfea4f393423ce4a0f2,sha256:8833435edf086ea7168a1d50a5a7437b2ca89c59f2df3e53ea689bff30e0fbc0,sha256:35c295559d2a9867fe7eb10eded5cc26c38d594478f58dfea4f393423ce4a0f2,sha256:8833435edf086ea7168a1d50a5a7437b2ca89c59f2df3e53ea689bff30e0fbc0,C=CC(=O)N1C[C@H]2CC[C@H]2[C@H]1C(=O)O,C=CC(=O)N1C[C@H]2CC[C@H]2[C@H]1C(=O)O,PASS,PASS,,,False,False,True,True
327,"C=CC(=O)N1CCCC(C1)C(=O)N2CC[C@@H](O)C[C@H]2C=3C=CC=CC3 |&1:15,18,r|	Z3756421435	342.433	342.433	0.581	-3.731	1	3	60.85	3","|&1:15,18,r|",Z3756421435,C=CC(=O)N1CCCC(C1)C(=O)N2CC[C@@H](O)C[C@H]2C=3C=CC=CC3,"C=CC(=O)N1CCCC(C1)C(=O)N2CC[C@@H](O)C[C@H]2C=3C=CC=CC3 |&1:15,18,r|",sha256:5c50f5e625d7eaf2f64e973b39808f5cb76a9583316eab90825d3df2c28b3e13,sha256:a8ed2d7cd4443853e780ec60f210e8d45522433b89811882db0936270dd61f16,sha256:5c50f5e625d7eaf2f64e973b39808f5cb76a9583316eab90825d3df2c28b3e13,sha256:a8ed2d7cd4443853e780ec60f210e8d45522433b89811882db0936270dd61f16,C=CC(=O)N1CCCC(C(=O)N2CC[C@@H](O)C[C@H]2c2ccccc2)C1,C=CC(=O)N1CCCC(C(=O)N2CC[C@@H](O)C[C@H]2c2ccccc2)C1,PASS,PASS,,,False,False,True,True
337,"C=CC(=O)N[C@@H]1CC(=O)N(C)[C@H]1C=2C=CC(Cl)=C(F)C2 |&1:5,11,r|	Z3766094870	296.725	296.725	2.466	-4.054	1	2	49.41	4","|&1:5,11,r|",Z3766094870,C=CC(=O)N[C@@H]1CC(=O)N(C)[C@H]1C=2C=CC(Cl)=C(F)C2,"C=CC(=O)N[C@@H]1CC(=O)N(C)[C@H]1C=2C=CC(Cl)=C(F)C2 |&1:5,11,r|",sha256:101491bf9ff6e793e9981bd4491c4102d9330bf9883d03c0e50ae56f52bb6241,sha256:66e9cdd65415b476d302d5a56f6e2685e605e54fe2fbb746b1127b91e732da1a,sha256:101491bf9ff6e793e9981bd4491c4102d9330bf9883d03c0e50ae56f52bb6241,sha256:66e9cdd65415b476d302d5a56f6e2685e605e54fe2fbb746b1127b91e732da1a,C=CC(=O)N[C@@H]1CC(=O)N(C)[C@H]1c1ccc(Cl)c(F)c1,C=CC(=O)N[C@@H]1CC(=O)N(C)[C@H]1c1ccc(Cl)c(F)c1,PASS,PASS,,,False,False,True,True
